transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
180,2022-11-05,10:47:00,117,Male,41,Clothing,3,300.00,129.00,900.00
522,2022-07-09,11:00:00,52,Male,46,Beauty,3,500.00,145.00,1500.00
559,2022-12-12,10:48:00,5,Female,40,Clothing,4,300.00,84.00,1200.00
1180,2022-01-06,08:53:00,85,Male,41,Clothing,3,300.00,129.00,900.00
1522,2022-11-14,08:35:00,48,Male,46,Beauty,3,500.00,235.00,1500.00
1559,2022-08-20,07:40:00,49,Female,40,Clothing,4,300.00,144.00,1200.00
163,2022-10-31,09:38:00,144,Female,64,Clothing,3,50.00,23.00,150.00
303,2022-04-22,11:09:00,54,Male,19,Electronics,3,30.00,14.70,90.00
421,2022-04-08,08:43:00,66,Female,37,Clothing,3,500.00,235.00,1500.00
979,2022-05-18,10:18:00,6,Female,19,Beauty,1,25.00,10.50,25.00
1163,2022-05-04,10:52:00,120,Female,64,Clothing,3,50.00,27.00,150.00
41334,2022-03-19,08:59:00,58,Male,19,Electronics,3,30.00,15.00,90.00
1421,2022-01-17,07:07:00,59,Female,37,Clothing,3,500.00,185.00,1500.00
1979,2022-08-17,11:34:00,102,Female,19,Beauty,1,25.00,7.75,25.00
610,2022-12-18,06:56:00,137,Female,26,Beauty,2,300.00,93.00,600.00
42644,2022-11-23,10:18:00,1,Female,26,Beauty,2,300.00,102.00,600.00
32,2022-07-16,09:11:00,150,Male,30,Beauty,3,30.00,8.40,90.00
231,2022-07-09,07:02:00,50,Female,23,Clothing,3,50.00,26.50,150.00
683,2022-03-06,10:22:00,82,Male,38,Beauty,2,500.00,175.00,1000.00
1032,2022-04-01,08:15:00,1,Male,30,Beauty,3,30.00,10.50,90.00
46022,2022-01-29,07:05:00,12,Female,23,Clothing,3,50.00,23.00,150.00
1683,2022-05-04,07:19:00,98,Male,38,Beauty,2,500.00,220.00,1000.00
367,2022-12-30,07:03:00,123,Female,57,Electronics,1,50.00,18.00,50.00
391,2022-03-25,07:37:00,68,Male,19,Beauty,2,25.00,6.25,50.00
1797,2022-04-16,11:47:00,147,Male,40,Clothing,3,25.00,12.25,75.00
1921,2022-02-08,07:01:00,77,Male,51,Electronics,3,25.00,7.50,75.00
291,2022-11-22,08:29:00,15,Male,60,Clothing,2,300.00,126.00,600.00
907,2022-09-02,06:16:00,145,Female,45,Electronics,1,25.00,8.50,25.00
1291,2022-04-04,11:19:00,72,Male,60,Clothing,2,300.00,153.00,600.00
43647,2022-11-17,11:21:00,115,Female,45,Electronics,1,25.00,9.00,25.00
